,V1,V2
gn:T01639,ain,Acidaminococcus intestini RyC-MR95
gn:T01640,thl,Tetragenococcus halophilus NBRC 12172
gn:T01641,ttn,Thermoproteus tenax Kra 1
gn:T01642,bmm,"Blattabacterium sp. (Mastotermes darwiniensis) MADAR, endosymbiont of Mastotermes darwiniensis (giant northern termite)"
gn:T01643,psd,Pseudoxanthomonas spadix BD-a59
gn:T01644,tli,Thermovirga lienii DSM 17291
gn:T01645,phl,Pelagibacterium halotolerans B2
gn:T01646,sct,Streptomyces cattleya NRRL 8057 = DSM 46488
gn:T01647,sfa,Streptomyces pratensis ATCC 33331
gn:T01648,ksk,Kitasatospora setae KM-6054
gn:T01649,mah,Methylomicrobium alcaliphilum 20Z
gn:T01650,vce,Vibrio cholerae O1 2010EL-1786
gn:T01651,aao,Aggregatibacter actinomycetemcomitans ANH9381
gn:T01652,eec,Enterobacter ludwigii EcWSU1 (Enterobacter cloacae EcWSU1)
gn:T01653,fco,Flavobacterium columnare ATCC 49512
gn:T01654,pav,Cutibacterium acnes TypeIA2 P.acn17 (Propionibacterium acnes TypeIA2 P.acn17)
gn:T01655,pax,Cutibacterium acnes TypeIA2 P.acn31 (Propionibacterium acnes TypeIA2 P.acn31)
gn:T01656,paz,Cutibacterium acnes TypeIA2 P.acn33 (Propionibacterium acnes TypeIA2 P.acn33)
gn:T01657,dsu,Azospira oryzae PS (Dechlorosoma suillum PS)
gn:T01658,ali,Azospirillum lipoferum 4B
gn:T01659,bmx,Halobacteriovorax marinus SJ (Bacteriovorax marinus)
gn:T01660,bcp,"Blattabacterium sp. Cpu, endosymbiont of Cryptocercus punctulatus (brown-hooded cockroach)"
gn:T01661,ccl,Hungateiclostridium clariflavum DSM 19732
gn:T01662,daf,Desulfovibrio africanus Walvis Bay
gn:T01663,faa,Filifactor alocis ATCC 35896
gn:T01664,gma,Granulicella mallensis MP5ACTX8
gn:T01665,mpz,Marinitoga piezophila KA3
gn:T01666,mhe,Mycoplasma haemocanis Illinois
gn:T01667,oce,Oceanimonas sp. GK1
gn:T01668,pta,Paenibacillus terrae HPL-003
gn:T01669,psf,Pseudovibrio sp. FO-BEG1
gn:T01670,pyr,Pyrobaculum ferrireducens 1860 (Pyrobaculum sp. 1860)
gn:T01671,rsv,Rickettsia slovaca 13-B
gn:T01672,ssz,Serratia symbiotica Cinara cedri
gn:T01673,sgp,Sphaerochaeta pleomorpha Grapes
gn:T01674,smn,Streptococcus macedonicus ACA-DC 198
gn:T01675,dor,Desulfosporosinus orientis DSM 765
gn:T01676,gte,Geobacillus thermoleovorans CCB_US3_UF5
gn:T01677,oho,Owenweeksia hongkongensis DSM 17368
gn:T01678,sbh,Streptomyces bingchenggensis BCW-1
gn:T01679,nko,Niastella koreensis GR20-10
gn:T01680,vfu,Vibrio furnissii NCTC 11218
gn:T01681,kox,Klebsiella michiganensis KCTC 1686
gn:T01682,tfo,Tannerella forsythia 92A2
gn:T01683,vej,Vibrio sp. EJY3
gn:T01684,acc,Acinetobacter pittii PHEA-2 (Acinetobacter calcoaceticus PHEA-2)
gn:T01685,mrh,Mycolicibacterium rhodesiae NBB3
gn:T01686,bnc,Bacillus cereus NC7401
gn:T01687,cdp,Corynebacterium diphtheriae 241
gn:T01688,cdh,Corynebacterium diphtheriae INCA 402
gn:T01689,cpl,Corynebacterium pseudotuberculosis 3/99-5
gn:T01690,mtk,Mycobacterium tuberculosis KZN 4207
gn:T01691,bfg,Bacteroides fragilis 638R
gn:T01692,baq,Bacillus velezensis CAU B946 (Bacillus amyloliquefaciens subsp. plantarum CAU B946)
gn:T01693,cdt,Corynebacterium diphtheriae HC01
gn:T01694,cde,Corynebacterium diphtheriae HC02
gn:T01695,cdr,Corynebacterium diphtheriae HC03
gn:T01696,cda,Corynebacterium diphtheriae HC04
gn:T01697,cdz,Corynebacterium diphtheriae 31A
gn:T01698,cdb,Corynebacterium diphtheriae BH8
gn:T01699,cds,Corynebacterium diphtheriae C7 (beta)
gn:T01700,cdd,Corynebacterium diphtheriae CDCE 8392
gn:T01701,cdw,Corynebacterium diphtheriae PW8
gn:T01702,cdv,Corynebacterium diphtheriae VA01
gn:T01703,bcf,Bacillus cereus F837/76
gn:T01704,baa,Brucella abortus A13334
gn:T01705,bsk,Brucella canis HSK A52141
gn:T01706,bsv,Brucella suis VBI22
gn:T01707,cty,Chlamydia trachomatis A2497
gn:T01708,clb,Clostridium sp. BNL1100
gn:T01709,ddn,Desulfovibrio desulfuricans ND132
gn:T01710,gmx,Glycine max (soybean)
gn:T01711,byi,Burkholderia sp. YI23
gn:T01712,mpm,Mycoplasma pneumoniae 309
gn:T01713,pce,Pediococcus claussenii ATCC BAA-344
gn:T01714,seo,Salmonella enterica subsp. enterica serovar Typhimurium 14028S
gn:T01715,sev,Salmonella enterica subsp. enterica serovar Typhimurium D23580
gn:T01716,mtr,Medicago truncatula (barrel medic)
gn:T01717,bdi,Brachypodium distachyon
gn:T01718,eko,Escherichia coli KO11FL
gn:T01719,gpo,Gordonia polyisoprenivorans VH2
gn:T01720,hiu,Haemophilus influenzae 10810 (serotype b)
gn:T01721,rra,Rickettsia rickettsii Arizona
gn:T01722,rrc,Rickettsia rickettsii Colombia
gn:T01723,rrh,Rickettsia rickettsii Hauke
gn:T01724,sey,Salmonella enterica subsp. enterica serovar Typhimurium SL1344
gn:T01725,sbt,Shewanella baltica OS678
gn:T01726,lpe,Legionella pneumophila subsp. pneumophila ATCC 43290 (serogroup 12)
gn:T01727,mbm,Mycobacterium tuberculosis variant bovis BCG Mexico (Mycobacterium bovis BCG Mexico)
gn:T01728,plf,Pantoea ananatis LMG 5342
gn:T01729,pmp,Pasteurella multocida 36950
gn:T01730,mhh,Mycoplasma hyorhinis GDL-1
gn:T01731,sfh,Sinorhizobium fredii HH103
gn:T01732,awo,Acetobacterium woodii DSM 1030
gn:T01733,kpm,Klebsiella pneumoniae subsp. pneumoniae HS11286
gn:T01734,pfe,Pseudomonas fluorescens F113
gn:T01735,pog,Pyrobaculum oguniense TE7
gn:T01736,rcc,Rickettsia canadensis CA410
gn:T01737,rrb,Rickettsia rickettsii Brazil
gn:T01738,rrn,Rickettsia rickettsii Hino
gn:T01739,rrp,Rickettsia rickettsii Hlp#2
gn:T01740,sel,Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078
gn:T01741,sex,Salmonella enterica subsp. enterica serovar Typhi P-stx-12
gn:T01742,sem,Salmonella enterica subsp. enterica serovar Typhimurium T000240
gn:T01743,sej,Salmonella enterica subsp. enterica serovar Typhimurium UK-1
gn:T01744,suu,"Staphylococcus aureus subsp. aureus M013, community-acquired methicillin-resistant"
gn:T01745,suv,Staphylococcus aureus subsp. aureus VC40
gn:T01746,sap,Sulfobacillus acidophilus DSM 10332
gn:T01747,wgl,Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)
gn:T01748,tpu,Treponema pallidum subsp. pallidum DAL-1
gn:T01749,tpc,Treponema pallidum subsp. pertenue CDC2
gn:T01750,tpg,Treponema pallidum subsp. pertenue Gauthier
gn:T01751,tpm,Treponema pallidum subsp. pertenue SamoaD
gn:T01752,bsd,Blastococcus saxobsidens DD2
gn:T01753,cpg,Corynebacterium pseudotuberculosis 316
gn:T01754,mit,Mycobacterium intracellulare MOTT-02
gn:T01755,mir,Mycobacterium paraintracellulare MOTT-64 (Mycobacterium intracellulare MOTT-64)
gn:T01756,ncy,Nocardia cyriacigeorgica GUH-2
gn:T01757,pmq,Paenibacillus mucilaginosus 3016
gn:T01758,rmi,Rickettsia massiliae AZT80
gn:T01759,rph,Rickettsia philipii 364D
gn:T01760,seb,Salmonella enterica subsp. enterica serovar Typhimurium ST4/74
gn:T01761,ftt,Francisella tularensis subsp. tularensis TI0902
gn:T01762,ftg,Francisella tularensis subsp. tularensis TIGB03
gn:T01763,mpx,Melissococcus plutonius DAT561
gn:T01764,sgn,Saprospira grandis Lewin
gn:T01765,sif,Streptococcus infantarius subsp. infantarius CJ18
gn:T01766,vci,Vibrio cholerae O1 IEC224
gn:T01767,suh,Staphylococcus argenteus MSHR1132
gn:T01768,lmm,Leuconostoc mesenteroides subsp. mesenteroides J18
gn:T01770,raq,Rahnella aquatilis CIP 78.65 = ATCC 33071
gn:T01771,cpp,Corynebacterium pseudotuberculosis P54B96
gn:T01772,efc,Enterococcus faecium Aus0004
gn:T01773,fau,Frateuria aurantia DSM 6220
gn:T01774,mez,Methanocella conradii HZ254
gn:T01775,mtg,Mycobacterium tuberculosis RGTB327
gn:T01776,pmv,Pasteurella multocida subsp. multocida HN06
gn:T01777,syt,Synechocystis sp. PCC 6803 GT-I
gn:T01778,sys,Synechocystis sp. PCC 6803 PCC-N
gn:T01780,ccx,Corallococcus coralloides DSM 2259
gn:T01781,fin,Flavobacterium indicum GPTSA100-9
gn:T01782,sef,Salmonella enterica subsp. enterica serovar Typhimurium 798
gn:T01783,rau,Rickettsia australis Cutlack
gn:T01784,rmo,Rickettsia montanensis OSU 85-930
gn:T01785,rpp,Rickettsia parkeri Portsmouth
gn:T01786,rre,Rickettsia rhipicephali 3-7-female6-CWPP
gn:T01787,ram,Rickettsia amblyommatis GAT-30V
gn:T01788,rpo,Rickettsia prowazekii BuV67-CWPP
gn:T01789,rpw,Rickettsia prowazekii Chernikova
gn:T01790,rpz,Rickettsia prowazekii Dachau
gn:T01791,rpg,Rickettsia prowazekii GvV257
gn:T01792,rps,Rickettsia prowazekii Katsinyian
gn:T01793,rpv,Rickettsia prowazekii RpGvF24
gn:T01794,stg,Streptococcus pyogenes MGAS15252 (serotype M59)
gn:T01795,ams,Actinoplanes missouriensis 431
gn:T01796,brs,Bradyrhizobium sp. S23321
gn:T01797,cap,Caldilinea aerophila DSM 14535 = NBRC 104270
gn:T01798,hpe,Helicobacter pylori ELS37
gn:T01799,sri,Selenomonas ruminantium subsp. lactilytica TAM6421
gn:T01800,phm,Phycisphaera mikurensis NBRC 102666
gn:T01801,rsw,Rickettsia slovaca D-CWPP
gn:T01802,rtt,Rickettsia typhi TH1527
gn:T01803,rge,Rubrivivax gelatinosus IL144
gn:T01804,cex,Caldisericum exile AZM16c01
gn:T01808,fpe,Fervidobacterium pennivorans DSM 9078
gn:T01809,lfc,Leptospirillum ferrooxidans C2-3
gn:T01810,rtb,Rickettsia typhi B9991CWPP
gn:T01811,sfc,Spirochaeta africana DSM 8902
gn:T01812,apf,Acetobacter pasteurianus IFO 3283-03
gn:T01813,apu,Acetobacter pasteurianus IFO 3283-07
gn:T01814,apg,Acetobacter pasteurianus IFO 3283-12
gn:T01815,apq,Acetobacter pasteurianus IFO 3283-22
gn:T01816,apx,Acetobacter pasteurianus IFO 3283-26
gn:T01817,apz,Acetobacter pasteurianus IFO 3283-32
gn:T01818,apw,Acetobacter pasteurianus IFO 3283-01-42C
gn:T01819,abx,Acinetobacter baumannii 1656-2
gn:T01820,abz,Acinetobacter baumannii MDR-ZJ06
gn:T01821,aad,Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
gn:T01822,amn,Amycolatopsis mediterranei S699
gn:T01823,abt,Arcobacter butzleri ED-1
gn:T01824,baz,Bacillus amyloliquefaciens TA208
gn:T01825,bak,"Buchnera aphidicola Ak, endosymbiont of Acyrthosiphon kondoi (blue alfalfa aphid)"
gn:T01826,baw,"Buchnera aphidicola JF98, endosymbiont of Acyrthosiphon pisum"
gn:T01827,dgo,Deinococcus gobiensis I-0
gn:T01828,bua,"Buchnera aphidicola LL01, endosymbiont of Acyrthosiphon pisum"
gn:T01829,bup,"Buchnera aphidicola TLW03, endosymbiont of Acyrthosiphon pisum"
gn:T01830,buh,"Buchnera aphidicola Ua, endosymbiont of Uroleucon ambrosiae"
gn:T01831,ypt,Yersinia pestis A1122
gn:T01832,ypd,Yersinia pestis D106004
gn:T01833,ypx,Yersinia pestis D182038
gn:T01834,arc,Arcobacter sp. L
gn:T01835,bql,Bacillus amyloliquefaciens LL3
gn:T01836,bxh,Bacillus amyloliquefaciens XH7
gn:T01837,bsr,Bacillus subtilis subsp. subtilis RO-NN-1
gn:T01838,btc,Bacillus thuringiensis serovar chinensis CT-43
gn:T01839,btf,Bacillus thuringiensis serovar finitimus YBT-020
gn:T01840,bbb,Bifidobacterium animalis subsp. lactis BB-12
gn:T01841,bbc,Bifidobacterium animalis subsp. lactis BLC1
gn:T01842,bnm,Bifidobacterium animalis subsp. lactis CNCM I-2494
gn:T01843,blv,Bifidobacterium animalis subsp. lactis V9
gn:T01844,bbv,Bifidobacterium breve ACS-071-V-Sch8b
gn:T01845,blk,Bifidobacterium longum subsp. longum KACC 91563
gn:T01846,bpc,Bordetella pertussis CS
gn:T01847,bip,Brachyspira intermedia PWS/A
gn:T01848,bju,Bradyrhizobium japonicum USDA 6
gn:T01849,bmg,Brucella melitensis M5-90
gn:T01850,raa,Rahnella aquatilis HX2
gn:T01851,rpm,Pararhodospirillum photometricum DSM 122 (Rhodospirillum photometricum DSM 122)
gn:T01852,bmz,Brucella melitensis M28
gn:T01853,bmw,Brucella melitensis NI
gn:T01854,cji,Campylobacter jejuni subsp. jejuni IA3902
gn:T01855,cjm,Campylobacter jejuni subsp. jejuni M1
gn:T01856,cjs,Campylobacter jejuni subsp. jejuni S3
gn:T01857,asm,Candidatus Arthromitus sp. SFB-mouse-Yit
gn:T01858,tpq,Candidatus Tremblaya princeps PCVAL
gn:T01859,clp,Chlamydia pneumoniae LPCoLN
gn:T01860,chs,Chlamydia psittaci 01DC11
gn:T01861,chi,Chlamydia psittaci 02DC15
gn:T01862,cht,Chlamydia psittaci 08DC60
gn:T01863,chc,Chlamydia psittaci C19/98
gn:T01864,cay,Clostridium acetobutylicum EA 2018
gn:T01865,cbm,Clostridium botulinum F 230613
gn:T01866,thc,Thermus sp. CCB_US3_UF1
gn:T01867,tts,Thermus thermophilus SG0.5JP17-16
gn:T01868,tph,Treponema pallidum subsp. pallidum Chicago
gn:T01869,sue,Staphylococcus aureus subsp. aureus ED133
gn:T01870,suj,"Staphylococcus aureus subsp. aureus JKD6159, community-acquired methicillin-resistant"
gn:T01871,vcl,Vibrio cholerae O1 LMA3984-4
gn:T01872,xcp,Xanthomonas campestris pv. raphani 756C
gn:T01873,xor,Xanthomonas oryzae pv. oryzicola BLS256
gn:T01874,yph,Yersinia pestis Harbin 35 (biovar Medievalis)
gn:T01875,zmm,Zymomonas mobilis subsp. mobilis ATCC 10988
gn:T01876,cpk,Corynebacterium pseudotuberculosis 1002
gn:T01877,cpq,Corynebacterium pseudotuberculosis C231
gn:T01878,cpx,Corynebacterium pseudotuberculosis I19
gn:T01879,cpz,Corynebacterium pseudotuberculosis PAT10
gn:T01880,cuc,Corynebacterium ulcerans 809
gn:T01881,efl,Enterococcus faecalis 62
gn:T01882,efi,Enterococcus faecalis OG1RF
gn:T01883,sfe,Shigella flexneri 2002017 (serotype Fxv)
gn:T01884,smq,Sinorhizobium meliloti BL225C
gn:T01885,smx,Sinorhizobium meliloti SM11
gn:T01886,suk,"Staphylococcus aureus subsp. aureus JKD6008, methicillin-resistant, vancomycin-intermediate resistance"
gn:T01887,suc,"Staphylococcus aureus subsp. aureus ECT-R 2, methicillin-sensitive"
gn:T01888,sut,"Staphylococcus aureus subsp. aureus T0131, methicillin-resistant"
gn:T01889,suq,Staphylococcus aureus subsp. aureus TCH60
gn:T01890,bmh,Bacillus megaterium WSH-002
gn:T01891,syq,Synechocystis sp. PCC 6803 PCC-P
gn:T01892,hpo,Helicobacter pylori 35A
gn:T01893,hpi,Helicobacter pylori 908
gn:T01894,hpu,Helicobacter pylori Cuz20
gn:T01895,hpf,Helicobacter pylori F30
gn:T01896,hph,Helicobacter pylori Lithuania75
gn:T01897,hpt,Helicobacter pylori Sat464
gn:T01898,hpz,Helicobacter pylori 52
gn:T01899,hpv,Helicobacter pylori v225d
gn:T01900,ctd,Chlamydia trachomatis D-EC
gn:T01901,ctf,Chlamydia trachomatis D-LC
gn:T01902,ctg,Chlamydia trachomatis E/11023
gn:T01903,ctk,Chlamydia trachomatis E/150
gn:T01904,ctn,Chlamydia trachomatis G/11074
gn:T01905,ctq,Chlamydia trachomatis G/11222
gn:T01906,ctv,Chlamydia trachomatis G/9301
gn:T01907,ctw,Chlamydia trachomatis G/9768
gn:T01908,abd,Acinetobacter baumannii TCDC-AB0715
gn:T01909,kvl,Ketogulonicigenium vulgare WSH-001
gn:T01910,hef,Helicobacter pylori F16
gn:T01911,heq,Helicobacter pylori F32
gn:T01912,hex,Helicobacter pylori F57
gn:T01913,hpq,Helicobacter pylori 2017
gn:T01914,hpw,Helicobacter pylori 2018
gn:T01915,hpx,Helicobacter pylori 83
gn:T01916,hen,Helicobacter pylori SNT49
gn:T01917,heg,Helicobacter pylori Gambia94/24
gn:T01918,hpn,Helicobacter pylori India7
gn:T01919,hep,Helicobacter pylori Puno120
gn:T01920,heu,Helicobacter pylori Puno135
gn:T01921,hes,Helicobacter pylori SouthAfrica7
gn:T01922,mad,Marinobacter adhaerens HP15
gn:T01923,mgh,Mycoplasma gallisepticum R(high)
gn:T01924,mgf,Mycoplasma gallisepticum F
gn:T01925,mhn,Mycoplasma hyopneumoniae 168
gn:T01926,mpj,Mycoplasma pneumoniae FH
gn:T01928,nmt,Neisseria meningitidis 8013 (serogroup C)
gn:T01929,nmd,Neisseria meningitidis G2136 (serogroup B)
gn:T01930,nmm,Neisseria meningitidis M01-240149 (serogroup B)
gn:T01931,nmw,Neisseria meningitidis WUE 2594 (serogroup A)
gn:T01932,nmp,Neisseria meningitidis alpha710 (serogroup B)
gn:T01933,ctx,Hungateiclostridium thermocellum DSM 1313 (Clostridium thermocellum DSM 1313)
gn:T01934,cor,Corynebacterium pseudotuberculosis 267
gn:T01935,erj,Erwinia sp. Ejp617
gn:T01936,ffo,Fervidicoccus fontis Kam940
gn:T01937,fcf,Francisella cf. novicida Fx1
gn:T01938,ftr,Francisella tularensis subsp. tularensis NE061598
gn:T01939,gvh,Gardnerella vaginalis HMP9231
gn:T01940,gsk,Geobacter sulfurreducens KN400
gn:T01941,hpk,Halanaerobium praevalens DSM 2228
gn:T01942,hwc,Haloquadratum walsbyi C23
gn:T01943,ial,Ignavibacterium album JCM 16511
gn:T01944,mhf,Mycoplasma haemofelis Ohio2
gn:T01945,mhm,Mycoplasma hyorhinis MCLD
gn:T01946,nmh,Neisseria meningitidis H44/76 (serogroup B)
gn:T01947,nms,Neisseria meningitidis M01-240355 (serogroup B)
gn:T01948,nmq,Neisseria meningitidis M04-240196 (serogroup B)
gn:T01949,nmz,Neisseria meningitidis NZ-05/33 (serogroup B)
gn:T01950,suz,"Staphylococcus aureus subsp. aureus 11819-97, community-acquired methicillin-resistant"
gn:T01951,sln,Staphylococcus lugdunensis N920143
gn:T01952,sih,Sulfolobus islandicus HVE10/4
gn:T01953,sir,Sulfolobus islandicus REY15A
gn:T01954,lay,Lactobacillus amylovorus GRL1118
gn:T01955,lcs,Lactobacillus paracasei BD-II (Lactobacillus casei BD-II)
gn:T01956,lce,Lactobacillus paracasei LC2W (Lactobacillus casei LC2W)
gn:T01957,ldl,Lactobacillus delbrueckii subsp. bulgaricus 2038
gn:T01958,lfr,Lactobacillus fermentum CECT 5716
gn:T01959,lhl,Lactobacillus helveticus H10
gn:T01960,ljh,Lactobacillus johnsonii DPC 6026
gn:T01961,lra,Lactobacillus rhamnosus ATCC 8530
gn:T01962,lsi,Lactobacillus salivarius CECT 5713
gn:T01963,lgv,Lactococcus garvieae Lg2
gn:T01964,llt,Lactococcus lactis subsp. lactis CV56
gn:T01965,llr,Lactococcus lactis subsp. cremoris A76
gn:T01966,csw,Chlamydia trachomatis Sweden2
gn:T01967,oco,Oligotropha carboxidovorans OM4
gn:T01968,ppo,Paenibacillus polymyxa M1
gn:T01969,paj,Pantoea ananatis AJ13355
gn:T01970,paq,Pantoea ananatis PA13
gn:T01971,paw,Cutibacterium acnes 266 (Propionibacterium acnes 266)
gn:T01972,pad,Cutibacterium acnes subsp. defendens ATCC 11828 (Propionibacterium acnes subsp. defendens ATCC 11828)
gn:T01973,paf,Pseudomonas aeruginosa M18
gn:T01974,pnc,Pseudomonas aeruginosa NCGM2.S1
gn:T01975,ppb,Pseudomonas putida BIRD-1
gn:T01976,psr,Pseudomonas stutzeri DSM 4166
gn:T01977,rpq,Rickettsia prowazekii Rp22
gn:T01978,stn,Streptococcus thermophilus ND03
gn:T01979,xff,Xylella fastidiosa subsp. fastidiosa GB514
gn:T01980,hie,Haemophilus influenzae R2846 (nontypeable)
gn:T01981,hiz,Haemophilus influenzae R2866 (nontypeable)
gn:T01982,kpo,Klebsiella pneumoniae KCTC 2242
gn:T01983,lie,Leptospira interrogans serovar Lai IPAV
gn:T01984,lmt,Listeria monocytogenes 10403S (serotype 1/2a)
gn:T01985,lmg,Listeria monocytogenes FSL R2-561
gn:T01986,lms,Listeria monocytogenes Finland 1998
gn:T01987,lmj,Listeria monocytogenes J0161
gn:T01988,lmq,Listeria monocytogenes M7 (serotype 4a)
gn:T01989,lml,Listeria monocytogenes L99 (serotype 4a)
gn:T01990,mhi,Methanosaeta harundinacea 6Ac
gn:T01991,mte,Mycobacterium tuberculosis CCDC5079
gn:T01992,mtl,Mycobacterium tuberculosis CCDC5180
gn:T01993,mto,Mycobacterium tuberculosis CTRI-2
gn:T01994,mti,Mycobacterium tuberculosis RGTB423
gn:T01995,eab,Escherichia coli ABU 83972
gn:T01996,edh,Escherichia coli DH1
gn:T01997,eih,Escherichia coli O18:K1:H7 IHE3034 (ExPEC)
gn:T01998,ena,Escherichia coli NA114 (UPEC)
gn:T01999,eoc,Escherichia coli O7:K1 CE10
gn:T02000,elu,Escherichia coli UM146
gn:T02001,eun,"Escherichia coli UMNK88 (ETEC, porcine)"
gn:T02002,elw,Escherichia coli W
gn:T02003,elc,Escherichia coli clone D i14
gn:T02004,eld,Escherichia coli clone D i2
gn:T02005,rsn,Ralstonia solanacearum Po82
gn:T02006,rrf,Rhodospirillum rubrum F11
gn:T02007,rar,Riemerella anatipestifer RA-GD
gn:T02008,sdt,Staphylococcus pseudintermedius ED99
gn:T02009,ttl,Thermus thermophilus JL-18
gn:T02010,yey,Yersinia enterocolitica subsp. palearctica Y11 (serotype:0:3)
gn:T02011,shb,Salmonella enterica subsp. enterica serovar Heidelberg B182
gn:T02012,sra,Serratia sp. AS13
gn:T02013,sbs,Shewanella baltica OS117
gn:T02014,sbb,Shewanella baltica BA175
gn:T02015,shp,Shewanella putrefaciens 200
gn:T02016,stq,Spirochaeta thermophila DSM 6578
gn:T02017,sdg,Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
gn:T02018,sgt,Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
gn:T02019,stz,Streptococcus pyogenes Alab49 (serotype M53)
gn:T02020,ssf,Streptococcus suis A7 (serotype 2)
gn:T02021,ssk,Streptococcus suis D12 (serotype 9)
gn:T02022,ssq,Streptococcus suis D9 (serotype 7)
gn:T02023,ssw,Streptococcus suis GZ1 (serotype 2)
gn:T02024,sui,Streptococcus suis JS14 (serotype 14)
gn:T02025,suo,Streptococcus suis SS12 (serotype 1/2)
gn:T02026,stu,Streptococcus thermophilus JIM 8232
gn:T02027,bjs,Bacillus sp. JS
gn:T02028,bax,Bacillus anthracis H9401
gn:T02029,cop,Corynebacterium pseudotuberculosis 31
gn:T02030,elp,Escherichia coli P12b
gn:T02031,hhd,Halobacillus halophilus DSM 2266
gn:T02032,hce,Helicobacter cetorum MIT 00-7128
gn:T02033,hcm,Helicobacter cetorum MIT 99-5656
gn:T02034,hcp,Helicobacter cinaedi PAGU611
gn:T02035,hcn,Helicobacter pylori HUP-B14
gn:T02036,hca,Helicobacter pylori PeCan18
gn:T02037,hhp,Helicobacter pylori Shi112
gn:T02038,hhq,Helicobacter pylori Shi169
gn:T02039,hhr,Helicobacter pylori Shi417
gn:T02040,lmp,Listeria monocytogenes 07PF0776 (serotype 4b)
gn:T02041,pmw,Paenibacillus mucilaginosus K02
gn:T02042,psi,Providencia stuartii MRSN 2154
gn:T02043,sud,"Staphylococcus aureus subsp. aureus 71193, methicillin-sensitive"
gn:T02044,ase,Actinoplanes sp. SE50/110
gn:T02045,abr,Acinetobacter baumannii MDR-TJ
gn:T02046,aan,Aggregatibacter actinomycetemcomitans D7S-1
gn:T02047,bni,Bifidobacterium animalis subsp. animalis ATCC 25527
gn:T02048,bgb,Borreliella garinii BgVir (Borrelia garinii BgVir)
gn:T02049,bpz,Burkholderia pseudomallei 1026b
gn:T02050,bya,Bacillus velezensis YAU B9601-Y2 (Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2)
gn:T02051,bcw,Borrelia crocidurae Achema
gn:T02052,cod,Corynebacterium pseudotuberculosis 1/06-A
gn:T02053,cos,Corynebacterium pseudotuberculosis 42/02-A
gn:T02054,coi,Corynebacterium pseudotuberculosis CIP 52.97
gn:T02055,mej,Methylophaga nitratireducenticrescens JAM1
gn:T02056,mec,Methylophaga frappieri JAM7
gn:T02057,pul,Pasteurella multocida subsp. multocida 3480
gn:T02058,pit,Prevotella intermedia 17
gn:T02059,sux,"Staphylococcus aureus subsp. aureus HO 5096 0412, methicillin-resistant"
gn:T02060,suw,"Staphylococcus aureus subsp. aureus TW20, methicillin-resistant"
gn:T02061,smz,Stenotrophomonas maltophilia D457
gn:T02062,stx,Streptococcus pyogenes MGAS1882 (serotype M59)
gn:T02063,shy,Streptomyces hygroscopicus subsp. jinggangensis 5008
gn:T02064,dvg,Desulfovibrio vulgaris RCH1
gn:T02065,pcn,Cutibacterium acnes 6609 (Propionibacterium acnes 6609)
gn:T02066,elr,Escherichia coli O55:H7 RM12579 (EPEC)
gn:T02067,elo,Escherichia coli O44:H18 042 (EAEC)
gn:T02068,eln,Escherichia coli O83:H1 NRG 857C (AIEC)
gn:T02069,elh,Escherichia coli O78:H11:K80 H10407 (ETEC)
gn:T02070,suy,"Staphylococcus aureus 04-02981, methicillin-resistant"
gn:T02071,sug,"Staphylococcus aureus subsp. aureus ST398, methicillin-resistant"
gn:T02072,sni,Streptococcus pneumoniae INV104 (serotype 1)
gn:T02073,snv,Streptococcus pneumoniae INV200 (serotype 14)
gn:T02074,snx,Streptococcus pneumoniae OXC141 (serotype 3)
gn:T02075,bbn,Borreliella burgdorferi N40 (Borrelia burgdorferi N40)
gn:T02076,cbj,Clostridium botulinum H04402 065
gn:T02077,ese,Escherichia coli O150:H5 SE15 (commensal)
gn:T02078,fcn,Francisella hispaniensis 3523 (Francisella cf. tularensis subsp. novicida 3523)
gn:T02079,blw,Bifidobacterium animalis subsp. lactis B420
gn:T02080,bls,Bifidobacterium animalis subsp. lactis Bi-07
gn:T02081,bbj,Borreliella burgdorferi JD1 (Borrelia burgdorferi JD1)
gn:T02082,hpd,Helicobacter pylori 51
gn:T02083,mhc,Marinobacter hydrocarbonoclasticus ATCC 49840
gn:T02084,scn,Solitalea canadensis DSM 3403
gn:T02085,suf,"Staphylococcus aureus subsp. aureus LGA251, methicillin-resistant"
gn:T02086,smj,Streptococcus mutans LJ23 (serotype k)
gn:T02087,snd,Streptococcus pneumoniae ST556 (serotype 19F)
gn:T02088,stf,Streptococcus salivarius 57.I
gn:T02089,stj,Streptococcus salivarius JIM8777
gn:T02090,dpp,Dictyostelium purpureum (cellular slime mold)
gn:T02091,etd,Edwardsiella tarda FL6-60
gn:T02092,blon,Bifidobacterium longum subsp. infantis ATCC 15697 (Tokyo)
gn:T02093,bafz,Borrelia afzelii PKo (Maryland)
gn:T02094,cra,Chlamydia trachomatis A2497
gn:T02095,scy,Streptomyces cattleya NRRL 8057 = DSM 46488
gn:T02096,ebe,Escherichia coli BL21(DE3)
gn:T02097,chb,Chlamydia psittaci 6BC
